xiaoqu,total_price,unit_price,region,build_area,house_area,room,orientations,guapai_time,url
万寿路西街9号,760,110369,万寿路,68.86㎡,暂无数据,2室1厅1厨1卫,南 北,2018-06-06,https://bj.ke.com/ershoufang/101102949685.html
万寿路西街11号院,780,110154,万寿路,70.81㎡,暂无数据,2室1厅1厨1卫,东 西,2018-06-18,https://bj.ke.com/ershoufang/101102991502.html
尚品公寓,700,73654,上地,95.04㎡,67.19㎡,2室1厅1厨1卫,西北,2017-02-24,https://bj.ke.com/ershoufang/101101230189.html
怡美家园,650,73133,上地,88.88㎡,88.88㎡,2室1厅1厨1卫,南 北,2018-03-26,https://bj.ke.com/ershoufang/101102701182.html
怡美家园,680,72379,上地,93.95㎡,暂无数据,2室1厅1厨1卫,南 北,2018-04-09,https://bj.ke.com/ershoufang/101102752131.html
当代城市家园,800,87375,上地,91.56㎡,75.28㎡,2室1厅1厨1卫,南 北,2018-05-05,https://bj.ke.com/ershoufang/101102841112.html
怡美家园,790,70681,上地,111.77㎡,暂无数据,2室2厅1厨2卫,南 北,2018-05-14,https://bj.ke.com/ershoufang/101102870583.html
怡美家园,750,67049,上地,111.86㎡,100.67㎡,2室2厅1厨2卫,南 北,2018-05-30,https://bj.ke.com/ershoufang/101102923753.html
怡美家园,665,68607,上地,96.93㎡,88.2㎡,2室1厅1厨1卫,南 东北,2018-06-09,https://bj.ke.com/ershoufang/101102960522.html
怡美家园,730,71499,上地,102.1㎡,暂无数据,2室1厅1厨2卫,南 北,2018-06-13,https://bj.ke.com/ershoufang/101102973981.html
怡美家园,765,76900,上地,99.48㎡,暂无数据,2室1厅1厨1卫,南 北,2018-06-28,https://bj.ke.com/ershoufang/101103025463.html
晨月园,720,87859,世纪城,81.95㎡,68.03㎡,2室1厅1厨1卫,西南,2017-06-11,https://bj.ke.com/ershoufang/101101687990.html
金夕园,780,91101,世纪城,85.62㎡,65㎡,2室1厅1厨1卫,东南,2017-07-12,https://bj.ke.com/ershoufang/101101805171.html
金夕园,780,85894,世纪城,90.81㎡,暂无数据,2室1厅1厨1卫,西,2017-09-20,https://bj.ke.com/ershoufang/101102103823.html
远大园六区,795,114918,世纪城,69.18㎡,60㎡,2室1厅1厨1卫,南 北,2017-10-20,https://bj.ke.com/ershoufang/101102215466.html
晨月园,660,80646,世纪城,81.84㎡,67.87㎡,2室1厅1厨1卫,西南,2017-11-08,https://bj.ke.com/ershoufang/101102284702.html
远大园六区,699,100721,世纪城,69.4㎡,暂无数据,2室1厅1厨1卫,东 西,2017-12-24,https://bj.ke.com/ershoufang/101102428804.html
烟树园,750,91430,世纪城,82.03㎡,暂无数据,2室1厅1厨1卫,西北,2018-01-12,https://bj.ke.com/ershoufang/101102483003.html
金夕园,800,88673,世纪城,90.22㎡,90.22㎡,2室1厅1厨1卫,东 南,2018-02-07,https://bj.ke.com/ershoufang/101102551539.html
晨月园,760,85193,世纪城,89.21㎡,75.66㎡,2室1厅1厨1卫,东南,2018-03-11,https://bj.ke.com/ershoufang/101102641341.html
晨月园,750,84204,世纪城,89.07㎡,75.54㎡,2室1厅1厨1卫,西南,2018-03-30,https://bj.ke.com/ershoufang/101102716387.html
金夕园,795,88148,世纪城,90.19㎡,暂无数据,2室1厅1厨1卫,东,2018-04-20,https://bj.ke.com/ershoufang/101102791597.html
远大园六区,730,108810,世纪城,67.09㎡,暂无数据,2室1厅1厨1卫,东 西,2018-04-30,https://bj.ke.com/ershoufang/101102821600.html
晨月园,750,96464,世纪城,77.75㎡,64.48㎡,2室1厅1厨1卫,南 北,2018-05-06,https://bj.ke.com/ershoufang/101102844879.html
晨月园,780,94972,世纪城,82.13㎡,68.18㎡,2室1厅1厨1卫,西南,2018-05-14,https://bj.ke.com/ershoufang/101102871852.html
